airline,code,aircrafts
LATAM Cargo Chile,UC / LCO,11
Laudamotion,OE / LDM,24
LEVEL,VK / FOO,7
LIAT,LI / LIA,10
Libyan Airlines,LN / LAA,9
Libyan Wings,YL / LWA,4
Lion Air,JT / LNI,121
Loganair,LM / LOG,47
Longhao Airlines,GI / LHA,5
LongJiang Airlines,LT / SNG,3
Loong Air,GJ / CDC,46
LOT,LO / LOT,83
Lucky Air,8L / LKE,61
Luftfahrtgesellschaft Walter,HE / LGW,2
Lufthansa,LH / DLH,356
Lufthansa Cargo,GEC,15
Lufttransport,LTR,22
Lumiwings,LW / LWI,2
Lunds Universitet,UNY,9
Luxair,LG / LGL,19
Luxaviation Germany,LXG,2
Lynden Air Cargo,L2 / LYC,6
Mahan Air,W5 / IRM,38
Malawian Airlines,3W / MWI,2
Malaysia Airlines,MH / MAS,84
Maldivian,Q2 / DQA,25
Maleth-Aero,DB / MLT,9
Mandarin Airlines,AE / MDA,14
Mango,JE / MNO,14
Mann Yadanarpon Airlines,7Y / MYP,2
Manta Air,NR / MAV,8
Map Linhas Aereas,7M / PAM,5
Martinair Holland,MP / MPH,7
Martinaire,MRA,18
MasAir Cargo Airline,M7 / MAA,1
MASwings,MY / MWG,17
Mauritania Airlines International,L6 / MAI,8
Max Aviation,MAX,9
Maya Island Air,2M / MYD,5
MCHS Rossii,SUM,18
MEA,ME / MEA,19
Med-View Airline,VL / MEV,3
Meraj Air,JI / MRJ,10
Meridian,GTH,11
Mesa Airlines,YV / ASH,3
MHS Aviation,M2 / MHV,13
Miami Air International,LL / BSK,8
MIAT Mongolian Airlines,OM / MGL,7
Mid Africa Aviation,8G / MFG,1
Midwest Aviation Division,MWT,2
Mint Airways,IM / MIC,1
MJet,MJF,3
MNG Airlines,MB / MNB,7
Modern Logistics,WD / MWM,4
Mokulele Airlines,MW / MHO,15
Monacair,QM / MCR,8
Montenegro Airlines,YM / MGX,5
Morningstar Air Express,MAL,1
Motor Sich Airlines,M9 / MSI,11
MRK Airlines,6V / MRW,2
My Indo Airlines,2Y / MYU,4
Myanmar Airways International,8M / MMA,5
Myanmar National Airlines,UB / UBA,17
MyWay Airlines,MJ / MYW,1
Nam Air,IN / LKN,14
National Airlines,N8 / NCR,6
National Jet Express,JTE,17
Nauru Airlines,ON / RON,6
Neos,NO / NOS,15
Nepal Airlines,RA / RNA,7
Nesma Airlines,NA / NSS,4
Nesma Airlines,NE / NMA,3
NetJets,NJE,104
NetJets,1I / EJA,606
New England Airlines,EJ / NEA,8
NightExpress,EXT,1
Nile Air,NP / NIA,7
Nippon Cargo Airlines,KZ / NCA,8
Noble Air Charter,JLJ,4
Nok Air,DD / NOK,30
NokScoot,XW / NCT,7
Nolinor Aviation,N5 / NRL,15
Noordzee Helikopters Vlaanderen,NHX,31
NordStar,Y7 / TYA,16
Nordwind Airlines,N4 / NWS,30
Norlandair,FNA,4
Norsk Helikopterservice,NKH,2
North Caribou Flying Service,NCB,27
North Central,NCJ,1
North Flying,NFA,5
North-Wright Airways,HW / NWL,18
Northern Air Cargo,NC / NAC,7
Northern Helicopter,NHC,6
Northwestern Air,J3 / PLR,14
Norwegian,DY / NAX,171
